respid,comtype2,smuse_fb,smuse_yt,smuse_x,smuse_ig,smuse_sc,smuse_tt,smuse_rd,smuse_bsk,smuse_th,smuse_ts,relig,educcat,party,hisp,racethn,agecat,birthplace,gender,adults,inc_sdt1,cregion,metro
3428,2,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12,1,2,2,1,4,1,1,2,4,3,1
3460,3,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2,2,1,2,1,3,1,2,2,3,2,2
10841,2,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,5,3,1,2,1,1,1,1,2,2,2,1
14801,1,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2,3,2,2,1,1,1,2,2,2,3,1
3195,2,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,12,1,2,2,1,2,1,1,2,8,3,1
8043,2,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,12,1,1,2,1,2,1,2,1,8,4,1
5481,2,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2,1,4,2,2,2,4,2,2,4,4,1
17330,2,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,1,2,2,5,4,4,2,1,6,4,1
16640,2,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,3,2,1,4,1,1,1,4,3,1
3011,2,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2,1,2,2,1,4,1,2,2,8,1,1
8646,1,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,12,2,4,1,3,1,4,2,3,4,3,1
11199,1,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1,1,3,2,5,3,99,1,2,7,4,1
8732,3,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2,3,4,1,3,2,1,1,2,1,3,2
17343,1,99.0,1.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,8,1,2,2,5,2,4,1,4,7,4,1
