RESPID,STRATUM,COMTYPE2,SMUSE_FB,SMUSE_YT,SMUSE_X,SMUSE_IG,SMUSE_SC,SMUSE_WA,SMUSE_TT,SMUSE_RD,SMUSE_BSK,SMUSE_TH,SMUSE_TS,RELIG,EDUCCAT,PARTY,HISP,RACECMB,RACETHN,AGECAT,BIRTHPLACE,GENDER,ADULTS,INC_SDT1,CREGION,METRO,BASEWT,WEIGHT
9771,10,2,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,10,3,3,2,1,1,2,1,1,1,2,4,1,0.802200473100524,3.599210865144216
8665,10,2,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,5,1,2,2,1,1,2,1,1,2,8,4,1,0.802200473100524,0.8875015327677991
6596,10,2,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,12,3,3,2,1,1,4,1,2,2,99,3,1,0.802200473100524,0.5037394064304664
13074,8,3,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,12,3,4,1,4,3,2,1,2,1,2,4,1,0.3849644251589357,0.7732627927159944
10880,10,2,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,2,2,1,1,3,1,1,2,8,1,1,1.604400946201048,1.3478755824117932
15106,10,3,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,2,3,2,1,1,2,1,1,3,4,3,1,2.4066014193015723,2.3965880768956085
12280,10,2,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,4,1,3,2,1,1,3,4,2,3,8,1,1,2.4066014193015723,1.5931120552283071
2595,1,2,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,99,3,1,2,2,2,3,1,2,2,99,2,1,0.1601642992143456,0.1573842156116841
14270,7,1,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2,2,2,1,1,3,3,4,2,2,1,2,1,0.3549963201832534,0.4349676914093294
7738,1,1,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,12,2,2,2,2,2,2,1,2,1,1,1,1,0.0800821496071728,0.1411353778359201
16464,10,99,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,99.0,2.0,2.0,11,3,3,2,2,2,4,1,2,1,1,2,1,0.802200473100524,1.0635517234808871
